Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1918,,,,,,,,World War I (1918),Photograph,"A photograph of a group of soldiers in uniform with two ladies during the First World War. The photo has handwriting on the reverse in blue ink that reads, ""Franklin Albert Coleman of St. Catharines, sitting 3rd from left, probably 1918, had been gassed & left with weak lungs died late 1939 or early 1940"". The exact date and location of the photograph are unknown.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/003/2004027116.jpg,,2004.027.116,https://s3.amazonaws.com/pastperfectonline/images/museum_74/003/thumbs/2004027116.jpg,,First World War,
,,,,,,,,Varioius,Advertisement,"Collection of photos and a brochure for Shepard Boats Limited. Founded as Shepard Boat Works in St. Catharines in 1928, expansion of the company allowed a plant to be built in 1939 in Niagara-on-the-Lake. A: Photo 1956 Shepard Junior Outboard with a list of dimensions for various part of the vessel on the back. B: Photo of 1968 Shepard 50� Motor Yacht. C: Photo of 1968 Shepard 50� Motor Yacht. D: Brochure of various vessels from Shepard Boats Limited including the 45� motor yacht, 40� motor yacht, 35� Express Cruiser, 30� Express Cruiser, 26� Express Cruiser, 22�, 19�, 16� Runabouts, and a table of specifications. Each vessel included in the brochure has photos, a description, and a blueprint.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/088/2005007036.jpg,,2005.007.036,https://s3.amazonaws.com/pastperfectonline/images/museum_74/088/thumbs/2005007036.jpg,,"Shepard Boats Limited, Boatbuilding, Motor boats",
1891,,,,,,,,9/9/1891,Commission:Military,"Appointment of Lieutenant Richard Cunningham Windeyer to Lieutenant of the No. 7 Company of the 36th ""Peel"" Regiment commencing on August 28, 1891.Richard C. Windeyer's military career began when he joined the 36th (Peel) Regiment in 1890. He would have attened the summer militia training camps at Niagara during this time and even took military courses at the Royal Military College in Kingston. Over the course of his service with the 36th he was promoted to Captain, a position which he held for 10 years, until he was eventually promoted to Commanding Officer. When the First World War began, he was given the command of the 74th Battalion, CEF, which began recruiting on June 30, 1915 and were sent to train at Niagara Camp on July 29 of the same year. The recruits of the 74th Battalion were supplied by four different regiments, these being the Queen's Own, 10th Royal Grenadiers, 36th Peel Regiment and the 48th Highlanders. His men took part in the Great Trek on October 18, 1915 when the officers of Military District #2 decided that the men should make a 112 km march to their winter quarters in Toronto. The march was set up as a tactical exercise based on a mock war. The troops at Niagara were to make their way through enemy- controlled territory to reinforce their allies in Toronto.When asked if the 74th was ready for the front, Windeyer said it all depended upon what front they were going to and what kind of warfare they would have to take part in. ""I could train intelligent men in three months for trench warfare"" said the Colonel. ""My men have entered into every phase of training, but we have not had sufficient field work during the winder owing to the weather. The trek [The Great Trek] from Niagara was a splendid experience for the men, they got a taste of the real thing in movement on a large scale, and the surprise attacks kept the interest alert all the time."" Windeyer never saw the theater of war, in fact he was all set to go overseas with his men-his trunk was loaded aboard the ship-when he received notice that he would not being going. He was later given command of Niagara Camp for a short period of time.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/070/2018016003.jpg,,2018.016.003,https://s3.amazonaws.com/pastperfectonline/images/museum_74/070/thumbs/2018016003.jpg,,"36th Regiment 36 Regiment 74th Battalion 74 Battalion Niagara Camp First World War World War One Infantry, Canadian Expeditionary Force CEFMilitia",
1823,,,,,,,,9/9/1823,Letter,"Letter by George Martin from the Grand River, Sept 9, 1823 (original), Report of Council. John Brant is mentioned as making disturbances.Council at the Six Nations Grand River are requesting that the annual presentation of gifts be postponed for 2-3 years. The letter eludes to an enemy and rift among the Six Nations with a divide potentially between the upper and lower Six Nations.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/077/2018010025.jpg,,2018.010.025,https://s3.amazonaws.com/pastperfectonline/images/museum_74/077/thumbs/2018010025.jpg,,"Grand River, Six Nations, Indian Department, Council",
1823,,,,,,,,9/9/1823,Letter,"A handwritten letter from John Brant to William Claus requesting that they receive a deed in trust for the lands that the Six Nations occupy along the Grand River.(Spelling according to documents)CopyW. Claus DSGGrand RiverI.A.the 9 Sept 1823SirI write at the request of the Six Nations to acquaint you for the information of His Excellency the Lieut Govenor that they have agreed at a full Council on the 6th Instant at the Onondaga Council fire to receive a Deed in Trust for the Lands they now have held and occupy on the Grand River The Cheifs regret to inform you that this decision has not been unanimous as all party oppose it, however the Majority of the Six Nations have subscribed to the paper in answer to your Speech of Feby last herewith transmitted and are anxious toTo the Lands they possess agreeable to theOrderOrder of His Majestys GovernmentSirI have the honor to beYour very Obed SertJohn BrantFort Geo. 16 Sep 1823SirI have the honor to acknowledge the receipt of your communication of yesterday's date & in reply by leave to state for the information of the ..G. of In Dept' that the Names of the Trustees are National are Mustard to the office, & With it to the Chiefs Elected to it is not intended that the Deed should be given to the present Trustees & their im=mediate Heirs, but by the arrangement the Deed will be given in Trust to there chiefs other(?) trupers(?) in office - The Names are Te Kanchogan, S Kayeatakhea Kanetage, Dewaser'age, Taxeanyen, Tchanatagwa, Kastearagon.I have the honor to be Sir,Y V O S(Signed)John BrantToJ.B. Clench Ens.CopyW Claus D.S.G.Grand RiverI.A.the 9 Sepr 1823SirI write at the request of the Six Nations to acquaint you for the information of His Excellency the Lieut Governor that they have agreed at a full Council on the 6h Instant at the Onondaga council fire to receive a Deed in Trust for the Lands they now have held and occupy on the Grant River. The Chiefs regret to inform you that this decision has not been unanimous as ? all party oppose it, however the Majority of the Six Nations have Subscribed to the paper in answer to your Speech of Feb last herewith transmitted and are anxious toto the Lands they possess agreeable to theorderorder of His Majestys GovernmentSirI have the honor to beYour Very Obed SertJohn BrantFort Geo. 16 Sep 1823SirI have the honor to acknowledge the receipt of your communication of yesterday's date & in reply by leave to state for the information of the D.S.G. of In Dept that the Names of the Trustees are��������.. National are Mustard to the office, & with it to the Chiefs Elected toIt is not intended that the Deed should be given to the present Trustees & their im=mediate Heirs, but by the arrangement the Deed will be given in Trust to there chiefs other ? trupers ? in office - The names are Te Kanchogan, S kayeatakhea Kanetage, De was'er'age, Takaenyen, Tchanatagwa, Dastearagon.I have the honor to be Sir,Y V O S(signed)John BrantToJ.B. Clench Ens?",https://s3.amazonaws.com/pastperfectonline/images/museum_74/077/2018010026.jpg,,2018.010.026,https://s3.amazonaws.com/pastperfectonline/images/museum_74/077/thumbs/2018010026.jpg,,"Six Nations Chief, Native History",
1823,,,,,,,,9/8/1823,Letter,"In this letter from George Martin Letter to William Claus, Chief George Martin, Shononhs�:se', is reporting on the current politics on the Grand River. George Martin, a Lower Mohawk Chief and Indian Department Interpreter was William Claus' ears at the Grand River. In this letter, Martin is explaining the divisiveness happening at the Grand River and reassures Claus that not all are listening to ""Brant's sweet mouth"". Interestingly, Martin makes a passing comment on the recent condolence ceremony for ""big arrow"", a young Onondaga chief who had been killed in a duel with John Norton earlier in the summer. Norton was very bereft over Big Arrow's death (whom he had mentored as a youth) and soon left for his father's Cherokee homeland in the southeast United States.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/077/2018010005.jpg,,2018.010.005,https://s3.amazonaws.com/pastperfectonline/images/museum_74/077/thumbs/2018010005.jpg,,"Grand River, Land Claim, Indian First Nations, Head of the Lake Wampum",
1830,,,,,,,,"September 3rd, 1830",Receipt,"Account with Duncan McNab, bill owed, with interest, is 4 dollars.There are tallied cash payments and other purchases such as making coats and a trip to Fort Erie.Back side is dated September 3rd, 1830.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/98231861.jpg,,982.318.61,https://s3.amazonaws.com/pastperfectonline/images/museum_74/082/thumbs/98231861.jpg,,"coats, Fort Erie, Business, Merchant",
1885,,,,,,,,9/30/1885,Affidavit,"A notarized affidavit signed by D. Servos, the Township Clerk, indicating that Mrs. W. Thompson was mistakenly left off of the voters' list for the Eastern Ward.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/089/1999005090.jpg,,1999.005.090,https://s3.amazonaws.com/pastperfectonline/images/museum_74/089/thumbs/1999005090.jpg,,"Eastern Ward, Voters list, Municipal stamp",
1885,,,,,,,,9/30/1885,Ballot,"Unused ballots to vote on a by-law to aid the Fort George Assembly Company.The Fort George Assembly eventually became the Niagara Assembly, which created the Canadian Chautauqua.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/089/1999005089(ac).jpg,,1999.005.089(A-C),https://s3.amazonaws.com/pastperfectonline/images/museum_74/089/thumbs/1999005089(ac).jpg,,"voteby-law, Fort George Assembly Company.Niagara Assembly, Chautauqua",
1932,,,,,,,,9/28/1932,Newspaper article,"A newspaper article by Elizabeth Ascher about the Polish Army at Camp Niagara titled ""Fifteen Years Ago This Date"". The article was published on September 28, 1932 in an unknown newspaper.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/003/2004027155.jpg,,2004.027.155,https://s3.amazonaws.com/pastperfectonline/images/museum_74/003/thumbs/2004027155.jpg,,"Newspaper, Camp Niagara, First World War, WWIPolish Army, Journalism",
1870,,,,,,,,9/21/1870,certificate,"On March 17, 1869 John M. Clement was made Lieutenant in the No. 1 Company Division, Reserve Militia of the Regimental Division of Niagara, this certificate was issued in 1870This certificate was signed by P. Robertson-Ross, Colonel, Adjutant General of Militia.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/081/9925009.jpg,,992.5.009,https://s3.amazonaws.com/pastperfectonline/images/museum_74/081/thumbs/9925009.jpg,,"number one Company Division, Reserve Militia, Regimental Division of Niagara, Lieutenantpromotion",
1845,,,,,,,,9/19/1845,Indenture,"Indenture between William Dickson, Andrew Heron, William Duff Miller, Andrew Heron Jr., John Rogers, John McFarland Jr., and David Cooper for lot numbers 157, 158, 183, and 184 in the Town of Niagara. These lots make up the present-day property of St. Andrew's Presbyterian Church.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/075/2016013015.jpg,,2016.013.015,https://s3.amazonaws.com/pastperfectonline/images/museum_74/075/thumbs/2016013015.jpg,,"propertyreal estate, St. Andrew's Churchtrust deed, Presbyterian Reserve",
1860,,,,,,,,9/18/1860,Tag:Admission,"A ticket to the ""Queenston Hights Celebration"" aboard the steamships Peerless and Zimmerman.",https://s3.amazonaws.com/pastperfectonline/images/museum_74/064/9915093.jpg,,991.5.093,https://s3.amazonaws.com/pastperfectonline/images/museum_74/064/thumbs/9915093.jpg,,"Steamboats, Travel, Peerless, Zimmerman, Queenston Hights, Transportation, Steamships",
