Media,Headline,Media Caption,Display Date,Text,Group
https://s3.amazonaws.com/pastperfectonline/images/museum_74/027/1997006(a_b).jpg,Compass,1997.006(A&B),1917 C.,"A Swiss Verner’s Pattern VII compass made in 1917 by E. Koehn and accompanying case made by French and Son in London in 1917. The leather case for the compass has a leather strap for carrying with a buckle on one side. The case opens sideways and has another buckle on the case itself to close the top firmly. The leather is discoloured in the bottom left corner. When the top is opened, printed in the leather is ""French & Son London 1917.The compass is painted black with brass fittings and the face is covered by a glass window with black line down the centre. ""Verner's Pattern"" is printed on the outside. The compass opens and the inside glass is moveable, there is a button to lock the compass in place. The brass ring along the outside has directional lettering (N, S, E, W).",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/034/199701702.jpg,Lantern,1997.017.02,,"This rectangular tin lantern has a tin back and bottom with glass panes on the sides and front. There is a cylindrical tin chimney on top with a conical cap. There is a circular tin pan inside the lantern possibly to hold a kerosene lamp; a makers mark attached to the back which says ""Piper & son *Maker* Toronto"". On the inside back there is a broken glass reflector piece.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/048/199800202.jpg,Sword,1998.002.02,,"This US Model 1906 Cavalry Trooper Sword has a steel blade and a leather scooped handle with twined leather. It is marked ""U.S. J.H.C."" on one ricasso and maker ""A.S.Co. 1906"" (Ames Sword Company) on the opposite side. The guard is stamped, ""1726"".",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/040/199800203.jpg,Bayonet,1998.002.03,,"This steel bayonet, with a long triangular blade, was designed to fit on the muzzle of a rifle or musket barrel, making it into a close range weapon. It has a clean and functional socket and was created by Winchester. A bayonet would have arguably been on every soldier's firearm during the War of 1812-1814.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/001/199800204.jpg,Bayonet,1998.002.04,,"This steel bayonet, with a long triangular blade, was designed by Winchester to fit on the muzzle of a rifle or musket barrel, making it into a close range weapon. A bayonet would have arguably been on every soldier's firearm during the War of 1812-1814.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/046/1998003135.jpg,Cane,1998.003.135,,"Among the more unusual items in the museum, and perhaps the most stunning, is a collection of 24 glass walking sticks. Although completely impractical, thousands of glass canes were crafted in the glasshouses of England, Europe and the United States for over four centuries.For the sheer delight of making lovely and interesting ""objets,"" glassmakers would, on their own time, take the left-over sand, soda ash and lime of their trade and create pieces for their own use and pleasure or to improve their skills. They worked with molten glass to make glass chains, sock darners, bells, rolling pins, horns and walking sticks. These ""Friggers"" in England or ""glasshouse whimsies"" elsewhere were often given as gifts or used to decorate the houses of these master craftsmen.  There are two types of glass canes - the first was made out of a solid piece of twisted glass with spirals of coloured glass forming its core and decorated with a crook or handle. The second was made from blown glass and is hollow with a rounded knob handle. Some of these canes were as tall as five meters.One of the first uses of these sticks was ceremonial - they were carried by glassmakers in their guild parades. Later, copying Marie Antionette's playing the rustic shepherdess at the Petit Trianon, fashionable English ladies carried glass shepherd's crooks decorated with flowers and ribbons. In the nineteenth century, glass canes were part of the costume of some English dandies.The museum's collection of glass whimsies was the gift of the Toronto interior designer, David Whitmore, who owned a house on the corner of Victoria and Johnson until his death in 1998.",GlassworkCanes
https://s3.amazonaws.com/pastperfectonline/images/museum_74/055/1998087.jpg,Painting:Watercolour,1998.087,1899,"A watercolour, heightened with gouache, depicting Camp Niagara in 1899. This detailed work shows a celebration within the camp with bright lights and soldiers in formation. The painting was created by E. Wyly Grier, signed in the lower left corner. Sir Edmund Wyly Grier was a Canadian portrait painter. He painted numerous portraits of political and corporate leaders and notable contemporaries.",ChristmasNiagara Commonsthe CommonsCamp Niagara
https://s3.amazonaws.com/pastperfectonline/images/museum_74/049/199809401.jpg,Cloak,1998.094.01,,"A plum coloured cloak lined with creme silk on the inside. The collar is decorated with furs; still attached are the animal's heads. Around the back is a large beige decoative lace flap, which is lined with matching fur. The cloak was formerly owned by Mrs. Williams, mother of Mrs. Gleason Rigler, former resident of Niagara-on-the-Lake, during the Victorian Era.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/053/199809402.jpg,Hat,1998.094.02,,"A Victorian Era oval shaped hat with wide brim which is edged in black velvet. Long feathers cover the top of the hat and are attached to a beige lace material. On the front of the hat there is a large gold buckle with a floral design around the outside. Four hatpins with various stones decorating them are attached to the hat. The inside of the hat is covered in black velvet. Formerly owned by Mrs. Williams, the Mother of Mrs. Gleaspm Rigler (Esme Williams) former resident of Niagara-on-the-Lake.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/033/1998096-2.jpg,Mold:Candle,1998.096,,"A smaller candle mold with only four 1.8cm (diam.) tubes, within a square housing. The top and bottom of the base has a small flat lip. Each tube has a single seam running up the side.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/039/1998104.jpg,Bayonet,1998.104,,"This bayonet would have been designed to fit on the muzzle of a rifle or musket barrel, making it into a close range weapon. There is an inscription near the socket that reads ""US, F.B."" A bayonet would have arguably been on every soldier's firearm during the War of 1812-1814.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/028/19981081.jpg,Coin,1998.108.1,1910,"Copper one cent coin dated 1910. Reverse has profile of King Edward VI surrounded by the words ""Edwardvs 6 dei gratia Rex Imperator Canada"".",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/028/19981082.jpg,Coin,1998.108.2,1852,"1852 Copper Coin from the Bank of Upper Canada. Features man on horesback on one side and on the reverse a crown, anchor and crossing swords surrounded by the words ""One Half Penny - Bank Token"".",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/028/19981083.jpg,Coin,1998.108.3,1902,Canadian copper one cent coin dated 1902. Leaf garland on one side and a profile of King Edward VI on the reverse.,
https://s3.amazonaws.com/pastperfectonline/images/museum_74/052/1998119.jpg,Sign,1998.119,,"A metal sign that reads, ""Passengers are not allowed to stand on platform"". The words are surrounded by carved designs on the boarder. There are two screw holes to attached the sign to a wall. The reverse is marked with a ""No.7"".",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/053/1998141001.jpg,Cap:Black Net,1998.141.001,1920 C.,"A black net skull cap decorated with gold sequins. The edge of the cap is outlined with a triple row of tubular gold beads. A sweatband is found on the inside of the cap and is made of grosgrain ribbon. A chinstrap is attached to either side and made of 1/16"" black elastic. The cap was made in France.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/001/19981424.jpg,Bottle:Medicine,1998.142.4,,"Glass dispensing bottle from Field's Drug Store. A bottle like this one would have been picked up by customers who went to the Apothecary (5 Queen Street) when it was owed by Erland Field. The Apothecary had a long-standing history in Niagara-on-the-Lake as it was in continuous operation for almost 150 years. Field took over the practice from Arthur James Coyne in 1922. To the people of Niagara-on-the-Lake, his business was known as ""Field Drugs"" and his window displays featured toiletries, cosmetic and hair products sold at the location. When Erland's health declined in 1964 he closed the pharmacy, and in 1965, he had made sure that the Niagara Foundation and the Ontario College of Pharmacists had the first right to purchase the property; which was owned by the Niagara Foundation until the Ontario Heritage Foundation acquired the property, restored it and opened it as a museum in 1971. Today the Apothecary still operates as a Museum that is run by the Ontario College of Pharmacists. Erland Field was born and raised in Virgil, Niagara-on-the-Lake and attended the High School located on Castlereagh Street. During the First World War he enlisted in the Canadian Army Medical Corps on June 21, 1915 at Niagara Camp. He was overseas 5 months later where he became part of the Fifth Canadian Field Ambulance, and then in 1917 he was transferred to the First Canadian Clearing Station. He saw service in France, Belgium, and Germany. He retuned home after almost 3 years of service and continued living in Virgil and was an active member in the community. Some local residents may still remember going to his store to get specific medicinal or other supplies that they couldn't find anywhere else.",
https://s3.amazonaws.com/pastperfectonline/images/museum_74/029/1998143064.jpg,Seal,1998.143.064,,"A beige coloured, wax seal with the British Coat of Arms on one side and an anchor on the other. The writing is faded and illegible and there is a material loop at the top attached within the wax.",
